M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   |   |   |   after  NldfgBuild : Remove false combo loops M=1495.15mb, Malloc-M=477mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   before NldfgBuild : Create dfg M=1495.15mb, Malloc-M=477mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   |   before NldfgBuild : Create graph function M=1495.15mb, Malloc-M=477mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   |   after  NldfgBuild : Create graph function M=1495.15mb, Malloc-M=478mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   |   before NldfgBuild : Create scopes M=1495.15mb, Malloc-M=478mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   |   after  NldfgBuild : Create scopes M=1495.15mb, Malloc-M=478mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   |   before NldfgBuild : Initial setup M=1495.15mb, Malloc-M=478mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   |   after  NldfgBuild : Initial setup M=1495.15mb, Malloc-M=478mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   |   before NldfgBuild : Create graph M=1495.15mb, Malloc-M=478mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   |   after  NldfgBuild : Create graph M=1495.15mb, Malloc-M=478mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   |   before NldfgBuild : Create terminal sinks and sources M=1495.15mb, Malloc-M=478mb, Available-M=12693mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   |   after  NldfgBuild : Create terminal sinks and sources M=1495.15mb, Malloc-M=478mb, Available-M=12692mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
STATS:: |   |   |   |   |   before NldfgBuild : Compute dependencies M=1495.15mb, Malloc-M=478mb, Available-M=12692mb, T=0s CPU=0s W=(2025-10-20 12:58:28)
